DOID,Old,New
 DOID:9017,"[""name: Sezary's disease involving lymph nodes of axilla and upper limb""]","[""name: obsolete Sezary's disease involving lymph nodes of axilla and upper limb""]"
 DOID:7011,['name: recurrent thyroid carcinoma'],['name: obsolete recurrent thyroid carcinoma']
 DOID:6851,['name: Linear Eccrine nevus with Comedones'],['name: obsolete Linear Eccrine nevus with Comedones']
 DOID:2158,['name: lung metastasis'],['name: obsolete lung metastasis']
 DOID:10195,"['def: ""A lipoma that is located_in the pleura."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/29222220]']","['def: ""A respiratory system benign neoplasm that derives_from fat cells and is located_in the pleura."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/29222220]']"
 DOID:8876,['name: herpetic vulvovaginitis'],['name: obsolete herpetic vulvovaginitis']
 DOID:0060065, ,"['def: ""A sideroblastic anemia that is characterized by microcytic hypochromic anemia and iron overload, and has_material_basis_in autosomal recessive inheritance of mutation in the SLC25A38 gene."" [url:https\\://rarediseases.info.nih.gov/diseases/8249/sideroblastic-anemia-pyridoxine-refractory-autosomal-recessive]']"
 DOID:1987,['name: fetal disease'],['name: obsolete fetal disease']
 DOID:0080327,"['def: ""A syndrome that is characterized by severe hydranencephaly with almost complete absence of the cerebral hemispheres, which are replaced by fluid, relative preservation of the posterior fossa structures, and renal dysplasia or agenesis and has_material_basis_in autosomal recessive homozygous mutation in the CEP55 gene on chromosome 10q23."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/28264986]']","['def: ""A syndrome that is characterized by severe hydranencephaly with almost complete absence of the cerebral hemispheres, which are replaced by fluid, relative preservation of the posterior fossa structures, and renal dysplasia or agenesis and has_material_basis_in autosomal recessive homozygous mutation in the CEP55 gene on chromosome 10q23."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/?term=28264986]']"
 DOID:933,['name: Cestoda infectious disease'],['name: obsolete Cestoda infectious disease']
 DOID:7391,['name: superior vena cava malignant neoplasm'],['name: obsolete superior vena cava malignant neoplasm']
 DOID:0050187,['name: Rubella virus encephalitis'],['name: obsolete Rubella virus encephalitis']
 DOID:8286,['name: metastatic epithelioid sarcoma'],['name: obsolete metastatic epithelioid sarcoma']
 DOID:10150,['name: lower limb cancer'],['name: obsolete lower limb cancer']
 DOID:14676,['name: congenital contricting bands'],['name: obsolete congenital contricting bands']
 DOID:9037,"[""name: Burkitt's tumor or lymphoma involving lymph nodes of inguinal region and lower limb""]","[""name: obsolete Burkitt's tumor or lymphoma involving lymph nodes of inguinal region and lower limb""]"
 DOID:4725,['name: neck neoplasm'],['name: obsolete neck neoplasm']
 DOID:8238,['name: metastatic endometrial carcinoma'],['name: obsolete metastatic endometrial carcinoma']
 DOID:13573,['name: schizo-affective type schizophrenia chronic state with acute exacerbation'],['name: obsolete schizo-affective type schizophrenia chronic state with acute exacerbation']
 DOID:616,['name: Deltaretrovirus infectious disease'],['name: obsolete Deltaretrovirus infectious disease']
 DOID:8919,['name: Mycosis fungoides involving lymph nodes of inguinal region and lower limb'],['name: obsolete Mycosis fungoides involving lymph nodes of inguinal region and lower limb']
 DOID:5404,['name: atypical adenoma'],['name: obsolete atypical adenoma']
 DOID:11741,['name: Chlamydophila pneumoniae pneumonia'],['name: obsolete Chlamydophila pneumoniae pneumonia']
 DOID:3621,['name: central nervous system neuroepithelial neoplasm'],['name: obsolete central nervous system neuroepithelial neoplasm']
 DOID:0050849, ,"['def: ""An ampulla of Vater neoplasm that is characterized by glandular dysplastic lesion having pre-malignant potential."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC3244941/]']"
 DOID:2131,['name: childhood malignant central nervous system neoplasm'],['name: obsolete childhood malignant central nervous system neoplasm']
 DOID:198,['name: mesonephric tumor'],['name: obsolete mesonephric tumor']
 DOID:11284,['name: disseminated scars of retina'],['name: obsolete disseminated scars of retina']
 DOID:6122,['name: AIDS-related anal cancer'],['name: obsolete AIDS-related anal cancer']
 DOID:11862,['name: late pregnancy'],['name: obsolete late pregnancy']
 DOID:0050066,['name: Listeria meningoencephalitis'],['name: obsolete Listeria meningoencephalitis']
 DOID:8390,['name: mixed choriocarcinoma and seminoma of the testis'],['name: obsolete mixed choriocarcinoma and seminoma of the testis']
 DOID:4800,['name: iris vascular disorder'],['name: obsolete iris vascular disorder']
 DOID:0060689,"['synonym: ""APL"" EXACT []']", 
 DOID:5989,['name: clear cell myomelanocytic tumor of the Falciform Ligament/Ligamentum Teres'],['name: obsolete clear cell myomelanocytic tumor of the Falciform Ligament/Ligamentum Teres']
 DOID:462,['name: cancer by anatomical entity'],['name: obsolete cancer by anatomical entity']
 DOID:6041,"['def: ""A malignant melanoma of choroid and spindle cell intraocular melanoma that is located_in the choroid."" [url:http\\://www.cancer.gov/cancertopics/pdq/treatment/intraocularmelanoma/HealthProfessional/allpages/print]', 'is_a: DOID:3162 ! malignant spindle cell melanoma']","['def: ""A malignant choroid melanoma that is located_in the choroid."" [url:http\\://www.cancer.gov/cancertopics/pdq/treatment/intraocularmelanoma/HealthProfessional/allpages/print]', 'is_a: DOID:1909 ! melanoma']"
 DOID:0050910,['is_a: DOID:657 ! adenoma'], 
 DOID:13579, ,"['def: ""A protein-energy malnutrition that is characterized by severe lack of protein and edema or anasarca, has_symptom swelling, gastrointestinal upset, dehydration, thin dry skin, and cough, and has_material_basis_in severe deficit of protein, resulting in lack of albumin causing decreased oncotic pressure in the vasculature and increased activation of the renin-angiotensin axis and antidiuretic hormone."" [url:https\\://www.ncbi.nlm.nih.gov/books/NBK507876/]']"
 DOID:14425,['name: secondary malignant neoplasm of intra-abdominal lymph node'],['name: obsolete secondary malignant neoplasm of intra-abdominal lymph node']
 DOID:7016,"['def: ""A lipoma that is located_in the tendon sheath."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/26665243]']","['def: ""A synovium neoplasm that is located_in the tendon sheath."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/26665243]']"
 DOID:3476,['name: Lipomatous hamartoma'],['name: obsolete Lipomatous hamartoma']
 DOID:8703,['name: penis herpetic infectious disease'],['name: obsolete penis herpetic infectious disease']
 DOID:0110034,"['synonym: ""ATS"" EXACT []']", 
 DOID:0050404,['name: commensal Mycoplasmataceae infectious disease'],['name: obsolete commensal Mycoplasmataceae infectious disease']
 DOID:6107,['name: mediastinal mixed non-seminomatous germ cell tumor'],['name: obsolete mediastinal mixed non-seminomatous germ cell tumor']
 DOID:130,['name: female genitalia nevus'],['name: obsolete female genitalia nevus']
 DOID:5720,['name: neuroblastomas of the adrenal gland and sympathetic nervous system'],['name: obsolete neuroblastomas of the adrenal gland and sympathetic nervous system']
 DOID:6852,['name: eccrine angiomatous hamartoma'],['name: obsolete eccrine angiomatous hamartoma']
 DOID:13527,['name: candidal otitis externa'],['name: obsolete candidal otitis externa']
 DOID:10018,['name: papilledema associated with increased intracranial pressure'],['name: obsolete papilledema associated with increased intracranial pressure']
 DOID:10569,['name: myopathy of critical illness'],['name: obsolete myopathy of critical illness']
 DOID:4999,['name: syphilitic alopecia'],['name: obsolete syphilitic alopecia']
 DOID:10206, ,['is_a: DOID:0060087 ! male reproductive organ benign neoplasm']
 DOID:0050274,['name: Scopulariopsis infectious disease'],['name: obsolete Scopulariopsis infectious disease']
 DOID:12698,['is_a: DOID:1923 ! sex differentiation disease'],"['def: ""A sex development disorder that is characterized by enlargement or swelling of male breast tissue resulting from elevated male estrogen levels or imbalanced estrogen and testosterone levels."" [url:https\\://my.clevelandclinic.org/health/diseases/16227-enlarged-male-breast-tissue-gynecomastia, url:https\\://www.mayoclinic.org/diseases-conditions/gynecomastia/symptoms-causes/syc-20351793]', 'is_a: DOID:1923 ! sex development disorder']"
 DOID:0050346,['name: primary Corynebacteriaceae infectious disease'],['name: obsolete primary Corynebacteriaceae infectious disease']
 DOID:10655,['is_a: DOID:4118 ! colon neuroendocrine neoplasm'],['is_a: DOID:5353 ! colonic disease']
 DOID:0111156,"['def: ""A male infertility characterized by round-headed spermatozoa lacking an acrosome."" [url:https\\://ghr.nlm.nih.gov/condition/globozoospermia, url:https\\://www.ncbi.nlm.nih.gov/pubmed/10471512]', 'name: globozoospermia']","['is_a: DOID:0050737 ! autosomal recessive disease', 'xref: OMIM:613958', 'alt_id: DOID:0070175', 'name: spermatogenic failure 9', 'def: ""A male infertility characterized by round-headed spermatozoa lacking an acrosome and that has_material_basis_in autosomal recessive inheritance in a mutation in the DPY19L2 gene on chromosome 12q14."" [url:https\\://ghr.nlm.nih.gov/condition/globozoospermia, url:https\\://www.ncbi.nlm.nih.gov/pubmed/10471512, url:url\\:https\\://www.ncbi.nlm.nih.gov/pubmed/21397064]', 'synonym: ""globozoospermia"" EXACT []']"
 DOID:11977,['name: disorder of magnesium metabolism'],['name: obsolete disorder of magnesium metabolism']
 DOID:0050170,['name: Jamestown Canyon encephalitis'],['name: obsolete Jamestown Canyon encephalitis']
 DOID:2424,['name: intradermal nevus'],['name: obsolete intradermal nevus']
 DOID:5545,['is_a: DOID:3128 ! anus disease'], 
 DOID:12245,['name: histoplasmosis endocarditis'],['name: obsolete histoplasmosis endocarditis']
 DOID:621,['name: simian acquired immunodeficiency syndrome'],['name: obsolete simian acquired immunodeficiency syndrome']
 DOID:9734,['name: urinary tuberculosis'],['name: obsolete urinary tuberculosis']
 DOID:1378,['name: uterine corpus mixed epithelial and mesenchymal tumor'],['name: obsolete uterine corpus mixed epithelial and mesenchymal tumor']
 DOID:9203,"[""name: Burkitt's tumor or lymphoma involving intra-abdominal lymph nodes""]","[""name: obsolete Burkitt's tumor or lymphoma involving intra-abdominal lymph nodes""]"
 DOID:8246,['name: breast myoid hamartoma'],['name: obsolete breast myoid hamartoma']
 DOID:0050733, ,"['def: ""A methylmalonic acidemia that is characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures, has_material_basis_in homozygous or compound heterozygous mutation in the MTR gene on chromosome 1q43 that causes an inborn error of vitamin B12 metabolism."" [url:https\\://rarediseases.info.nih.gov/diseases/3584/methylmalonic-acidemia-with-homocystinuria-type-cblf, url:https\\://www.omim.org/entry/250940]']"
 DOID:0110212,"['synonym: ""COWCK"" EXACT []']", 
 DOID:0050408,['name: Staphylococcus aureus ecthyma'],['name: obsolete Staphylococcus aureus ecthyma']
 DOID:6730,['name: recurrent childhood optic tract astrocytoma'],['name: obsolete recurrent childhood optic tract astrocytoma']
 DOID:0050067,['name: Listeria septicaemia'],['name: obsolete Listeria septicaemia']
 DOID:10533,['is_a: DOID:934 ! viral infectious disease'], 
 DOID:12121,['name: secondary syphilitic periostitis'],['name: obsolete secondary syphilitic periostitis']
 DOID:0050671,"['def: ""A breast cancer that occurs in females."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/24703317]']","['def: ""A breast cancer that develops from breast tissue in females."" [url:https\\://en.wikipedia.org/wiki/Breast_cancer, url:https\\://www.ncbi.nlm.nih.gov/pubmed/24703317, url:https\\://www.ncbi.nlm.nih.gov/pubmed/25002350]']"
 DOID:2573,['name: drug-induced delirium'],['name: obsolete drug-induced delirium']
 DOID:3763,['is_a: DOID:1923 ! sex differentiation disease'],['is_a: DOID:1923 ! sex development disorder']
 DOID:5941,['name: lung carcinoma metastatic to the brain'],['name: obsolete lung carcinoma metastatic to the brain']
 DOID:8011,['name: metastatic fibrosarcoma'],['name: obsolete metastatic fibrosarcoma']
 DOID:157,['name: epithelial carcinoma'],['name: obsolete epithelial carcinoma']
 DOID:5335,['name: renal neoplasm with t(6;11)(p21;q12)'],['name: obsolete renal neoplasm with t(6;11)(p21;q12)']
 DOID:9762,['name: perinatal cyanotic attack'],['name: obsolete perinatal cyanotic attack']
 DOID:9866,['name: lactation disorder'],['name: obsolete lactation disorder']
 DOID:927,['name: metastatic malignant neoplasm to brain'],['name: obsolete metastatic malignant neoplasm to brain']
 DOID:0050754, ,"['def: ""An autosomal recessive cerebellar ataxia that is characterized by progressive cerebellar ataxia including oculomotor apraxia, severe neuropathy and hypoalbuminemia, has_material_basis_in autosomal recessive inheritance of mutation in the APTX gene."" [url:https\\://rarediseases.info.nih.gov/diseases/9283/ataxia-oculomotor-apraxia-type-1]']"
 DOID:8345,['name: type 2 ALPS'],['name: obsolete type 2 ALPS']
 DOID:266,['name: malignant soft tissue neoplasm of the spleen'],['name: obsolete malignant soft tissue neoplasm of the spleen']
 DOID:6023,['name: metastasis to the parathyroid gland'],['name: obsolete metastasis to the parathyroid gland']
 DOID:0050531,['name: lentiginosis profusa'],['name: obsolete lentiginosis profusa']
 DOID:5865,['name: metastatic chondrosarcoma'],['name: obsolete metastatic chondrosarcoma']
 DOID:6308,['name: metastatic transitional cell cancer of the renal pelvis and ureter'],['name: obsolete metastatic transitional cell cancer of the renal pelvis and ureter']
 DOID:0060078,"['def: ""A breast cancer that is characterized by the absence of progesterone receptors."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/25471040]']","['def: ""A breast cancer that is characterized by the absence of progesterone receptors."" [url:https\\://www.cancer.org/cancer/breast-cancer/understanding-a-breast-cancer-diagnosis/breast-cancer-hormone-receptor-status.html, url:https\\://www.ncbi.nlm.nih.gov/pubmed/25471040]']"
 DOID:13663,['name: acute suppurative otitis media with tympanic membrane intact'],['name: obsolete acute suppurative otitis media with tympanic membrane intact']
 DOID:3726,['name: puerperal disease'],['name: obsolete puerperal disease']
 DOID:0050400,['name: Pseudomonas urinary tract infectious disease'],['name: obsolete Pseudomonas urinary tract infectious disease']
 DOID:13643,['name: pneumococcal septicemia'],['name: obsolete pneumococcal septicemia']
 DOID:11349,['name: epilepsia partialis continua'],['name: obsolete epilepsia partialis continua']
 DOID:5400,['name: trabecular adenoma'],['name: obsolete trabecular adenoma']
 DOID:435,"['name: malignant neoplasm of thymus, heart and mediastinum']","['name: obsolete malignant neoplasm of thymus, heart and mediastinum']"
 DOID:846,['name: arthropathy associated with hematological disorder'],['name: obsolete arthropathy associated with hematological disorder']
 DOID:12584,"['name: Diabetes mellitus of mother, with delivery']","['name: obsolete Diabetes mellitus of mother, with delivery']"
 DOID:7324,['name: hepatitis C virus related hepatocellular carcinoma'],['name: obsolete hepatitis C virus related hepatocellular carcinoma']
 DOID:4857,['name: diffuse astrocytoma'],['name: obsolete diffuse astrocytoma']
 DOID:4375,"[""name: agricultural workers' disease""]","[""name: obsolete agricultural workers' disease""]"
 DOID:10066,['name: syphilitic acoustic neuritis'],['name: obsolete syphilitic acoustic neuritis']
 DOID:1908,['name: cutaneous fibrohistiocytic neoplasm'],['name: obsolete cutaneous fibrohistiocytic neoplasm']
 DOID:7099,['name: ovarian dermoid cyst with squamous cell carcinoma'],['name: obsolete ovarian dermoid cyst with squamous cell carcinoma']
 DOID:9543,['name: plasma cell myeloma PTLD'],['name: obsolete plasma cell myeloma PTLD']
 DOID:3533,['name: Morbillivirus infectious disease'],['name: obsolete Morbillivirus infectious disease']
 DOID:68,['name: lymphomyeloid tissue disease'],['name: obsolete lymphomyeloid tissue disease']
 DOID:0050878,['name: CLONE OF congenital afibrinogenemia'],['name: obsolete CLONE OF congenital afibrinogenemia']
 DOID:10384,['name: papilledema associated with decreased ocular pressure'],['name: obsolete papilledema associated with decreased ocular pressure']
 DOID:1884,['is_a: DOID:934 ! viral infectious disease'], 
 DOID:0060386, ,"['def: ""A cutaneous form of systemic lupus erythermatosus that is characterized by painful nodular skin lesions precipitated by variation in temperatures, has_material_basis_in autosomal dominant inheritance of mutation in the TREX1 gene."" [url:https\\://www.omim.org/entry/610448]']"
 DOID:14049,['is_a: DOID:936 ! brain disease'], 
 DOID:1823,['name: petit mal status'],['name: obsolete petit mal status']
 DOID:6710,['name: metastatic anal cancer'],['name: obsolete metastatic anal cancer']
 DOID:5651,['name: anaplastic carcinoma'],['name: obsolete anaplastic carcinoma']
 DOID:4956,['name: leptomeningeal neoplasm'],['name: obsolete leptomeningeal neoplasm']
 DOID:13262,['name: hallucinatory state induced by drug'],['name: obsolete hallucinatory state induced by drug']
 DOID:0110214,"['def: ""Cleft velum is a fissure type embryopathy that affects in varying degrees the soft palate."" [ORDO:99772]']","['def: ""Cleft velum is a fissure type embryopathy that affects in varying degrees the soft palate."" [url:https\\://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99772]']"
 DOID:6838,"['def: ""A cystadenofibroma that is located_in the rete ovarii."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/21139896]']","['def: ""A rete ovarii neoplasm that is derives_from epithelial and stromal cells."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/21139896]']"
 DOID:122,['name: abdominal cancer'],['name: obsolete abdominal cancer']
 DOID:8365,['name: inferior vena cava malignant neoplasm'],['name: obsolete inferior vena cava malignant neoplasm']
 DOID:1265,['name: genitourinary cancer'],['name: obsolete genitourinary cancer']
 DOID:6014,['name: mediastinal germ cell cancer'],['name: obsolete mediastinal germ cell cancer']
 DOID:6850,['name: hamartoma of Eccrine Sweat gland'],['name: obsolete hamartoma of Eccrine Sweat gland']
 DOID:0000666,['xref: OMIM:175100'],['xref: OMIM:614920']
 DOID:4804,['name: border disease'],['name: obsolete border disease']
 DOID:0050193,['name: Lymphocytic choriomeningitis virus encephalitis'],['name: obsolete Lymphocytic choriomeningitis virus encephalitis']
 DOID:3090,['name: testicular non-neoplastic disease'],['name: obsolete testicular non-neoplastic disease']
 DOID:7833,['name: cervical papillary squamous cell carcinoma'],['name: obsolete cervical papillary squamous cell carcinoma']
 DOID:3730,['name: pneumonic pasteurellosis'],['name: obsolete pneumonic pasteurellosis']
 DOID:11578,['name: Escherichia coli meningitis'],['name: obsolete Escherichia coli meningitis']
 DOID:13975,['name: metastatic tumor to the brain stem'],['name: obsolete metastatic tumor to the brain stem']
 DOID:4383,['name: solid alveolar rhabdomyosarcoma'],['name: obsolete solid alveolar rhabdomyosarcoma']
 DOID:10526,['is_a: DOID:10139 ! conjunctival degeneration'], 
 DOID:0050192,['name: Nipah virus encephalitis'],['name: obsolete Nipah virus encephalitis']
 DOID:11170,['name: vulvar condylomata acuminata'],['name: obsolete vulvar condylomata acuminata']
 DOID:200,"['synonym: ""Giant cell tumors"" RELATED []', 'synonym: ""Giant cell tumor"" EXACT []', 'synonym: ""Giant cell tumors"" EXACT []', 'synonym: ""tumor of the Giant cell"" EXACT [NCI2004_11_17:C3055]', 'synonym: ""Giant cell neoplasm"" EXACT [NCI2004_11_17:C7069]']", 
 DOID:9010,"[""name: Burkitt's tumor or lymphoma involving lymph nodes of multiple sites""]","[""name: obsolete Burkitt's tumor or lymphoma involving lymph nodes of multiple sites""]"
 DOID:13763,['name: dourine'],['name: obsolete dourine']
 DOID:13528,['name: candidal enteritis'],['name: obsolete candidal enteritis']
 DOID:14482,"['synonym: ""Herpes gestationis"" EXACT []', 'name: herpes gestationis']","['synonym: ""herpes gestationis"" EXACT []', 'def: ""A vesiculobullous skin disease that is characterized by erythematous papules, vesicles, and plaques around the trunk and extremities that develop during pregnancy, particularly during the second and third trimesters, has_symptom pruritis, and has_material_basis_in autoantibodies to the basement membrane, which triggers a complement cascade and attracts eosinophils to the subepidermis."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC3062810/]', 'name: pemphigoid gestationis']"
 DOID:4369,['name: brain hypoxia-Ischemia'],['name: obsolete brain hypoxia-Ischemia']
 DOID:10501,['name: menopausal and postmenopausal disorder'],['name: obsolete menopausal and postmenopausal disorder']
 DOID:0110325,"['name: hypertrophic cardiomyopathy 19', 'def: ""A familial hypertrophic cardiomyopathy that has_material_basis_in heterozygous mutation in the calreticulin gene (CALR3) on chromosome 19p13.11."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/17655857]', 'synonym: ""cardiomyopathy familial hypertrophic 19"" EXACT []', 'synonym: ""CMH19"" EXACT []', 'xref: OMIM:613875', 'is_a: DOID:0080326 ! familial hypertrophic cardiomyopathy']","['is_obsolete: true', 'name: obsolete hypertrophic cardiomyopathy 19']"
 DOID:8995,['name: malignant histiocytosis involving intra-abdominal lymph nodes'],['name: obsolete malignant histiocytosis involving intra-abdominal lymph nodes']
 DOID:4644, ,"['def: ""An epidermolysis bullosa that is characterized by recurrent blistering at the level of the epidermis secondary to minor trauma, which can cause limited wounds, dehydration, electrolyte abnormalities, severe infection, among other issues, and has_material_basis_in mutation in the KRT5, KRT14, or PLEC genes, which encode keratin and plectin proteins that provide resilience in skin."" [url:https\\://ghr.nlm.nih.gov/condition/epidermolysis-bullosa-simplex#genes]']"
 DOID:13307,['name: pseudomembranous diphtheritic conjunctivitis'],['name: obsolete pseudomembranous diphtheritic conjunctivitis']
 DOID:1077,['name: Spirurida infectious disease'],['name: obsolete Spirurida infectious disease']
